xin1,    yin1

6.93147E-01	1.2400
1.60944E+00	1.2380
2.30259E+00	1.2350
2.70805E+00	1.2320
2.99573E+00	1.2290
3.40120E+00	1.2250
3.68888E+00	1.2200
3.91202E+00	1.2150
4.09434E+00	1.2100
4.24850E+00	1.2050
4.38203E+00	1.2010
4.49981E+00	1.1975
4.60517E+00	1.1930
4.78749E+00	1.1850
4.94164E+00	1.1780
5.07517E+00	1.1710
5.19296E+00	1.1650
5.29832E+00	1.1590
5.52146E+00	1.1470
5.70378E+00	1.1380
5.85793E+00	1.1305
5.99146E+00	1.1250
6.10925E+00	1.1205
6.21461E+00	1.1160
6.39693E+00	1.1100
6.62007E+00	1.1050
6.90776E+00	1.0980
